timestamp,scope,name,node,cpu_util,power
2025-05-28T14:20:45.458918,pod,s1-inference-00005-deployment-5cd44fdf75-g68k7,worker-2,0.248923,1.128716
2025-05-28T14:20:45.458918,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.007561,0.034283
2025-05-28T14:20:45.458918,pod,s3-sensorcruncher-00003-deployment-7fbbcf5fb4-m82xk,worker-2,0.011267,0.051089
2025-05-28T14:20:45.458918,pod,s4-sensorflood-00003-deployment-7c946458fd-r559f,worker-2,0.012835,0.058201
2025-05-28T14:20:45.458918,pod,s5-audioprocessor-00003-deployment-57bdd966b5-zb6t9,worker-2,0.033335,0.151153
2025-05-28T14:21:00.225734,pod,s1-inference-00005-deployment-5cd44fdf75-g68k7,worker-2,0.148696,0.674248
2025-05-28T14:21:00.225734,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.006879,0.031191
2025-05-28T14:21:00.225734,pod,s3-sensorcruncher-00003-deployment-7fbbcf5fb4-m82xk,worker-2,0.01162,0.052688
2025-05-28T14:21:00.225734,pod,s4-sensorflood-00003-deployment-7c946458fd-r559f,worker-2,0.014629,0.066332
2025-05-28T14:21:00.225734,pod,s5-audioprocessor-00003-deployment-57bdd966b5-zb6t9,worker-2,0.028409,0.12882
2025-05-28T14:21:05.847130,pod,s1-inference-00005-deployment-5cd44fdf75-g68k7,worker-2,0.123524,0.560109
2025-05-28T14:21:05.847130,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.006115,0.027729
2025-05-28T14:21:05.847130,pod,s3-sensorcruncher-00003-deployment-7fbbcf5fb4-m82xk,worker-2,0.010435,0.047315
2025-05-28T14:21:05.847130,pod,s4-sensorflood-00003-deployment-7c946458fd-r559f,worker-2,0.010688,0.048462
2025-05-28T14:21:05.847130,pod,s5-audioprocessor-00003-deployment-57bdd966b5-zb6t9,worker-2,0.022668,0.102787
2025-05-28T14:21:10.175629,pod,s1-inference-00005-deployment-5cd44fdf75-g68k7,worker-2,0.100422,0.455353
2025-05-28T14:21:10.175629,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.007842,0.035559
2025-05-28T14:21:10.175629,pod,s3-sensorcruncher-00003-deployment-7fbbcf5fb4-m82xk,worker-2,0.011899,0.053956
2025-05-28T14:21:10.175629,pod,s4-sensorflood-00003-deployment-7c946458fd-r559f,worker-2,0.012684,0.057513
2025-05-28T14:21:10.175629,pod,s5-audioprocessor-00003-deployment-57bdd966b5-zb6t9,worker-2,0.021252,0.096366
2025-05-28T14:21:15.153895,pod,s1-inference-00005-deployment-5cd44fdf75-g68k7,worker-2,0.099082,0.449277
2025-05-28T14:21:15.153895,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.006894,0.031259
2025-05-28T14:21:15.153895,pod,s3-sensorcruncher-00003-deployment-7fbbcf5fb4-m82xk,worker-2,0.011463,0.051977
2025-05-28T14:21:15.153895,pod,s4-sensorflood-00003-deployment-7c946458fd-r559f,worker-2,0.012003,0.054424
2025-05-28T14:21:15.153895,pod,s5-audioprocessor-00003-deployment-57bdd966b5-zb6t9,worker-2,0.015575,0.070621
2025-05-28T14:21:20.888455,pod,s1-inference-00005-deployment-5cd44fdf75-g68k7,worker-2,0.046646,0.211513
2025-05-28T14:21:20.888455,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.005935,0.026912
2025-05-28T14:21:20.888455,pod,s3-sensorcruncher-00003-deployment-7fbbcf5fb4-m82xk,worker-2,0.011078,0.050233
2025-05-28T14:21:20.888455,pod,s4-sensorflood-00003-deployment-7c946458fd-r559f,worker-2,0.010843,0.049168
2025-05-28T14:21:20.888455,pod,s5-audioprocessor-00003-deployment-57bdd966b5-zb6t9,worker-2,0.010489,0.047562
2025-05-28T14:21:25.231076,pod,s1-inference-00005-deployment-5cd44fdf75-g68k7,worker-2,0.010754,0.048761
2025-05-28T14:21:25.231076,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.008374,0.037971
2025-05-28T14:21:25.231076,pod,s3-sensorcruncher-00003-deployment-7fbbcf5fb4-m82xk,worker-2,0.010807,0.049002
2025-05-28T14:21:25.231076,pod,s4-sensorflood-00003-deployment-7c946458fd-r559f,worker-2,0.010941,0.04961
2025-05-28T14:21:25.231076,pod,s5-audioprocessor-00003-deployment-57bdd966b5-zb6t9,worker-2,0.011478,0.052044
2025-05-28T14:21:30.211164,pod,s1-inference-00005-deployment-5cd44fdf75-g68k7,worker-2,0.010844,0.049169
2025-05-28T14:21:30.211164,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.00775,0.03514
2025-05-28T14:21:30.211164,pod,s3-sensorcruncher-00003-deployment-7fbbcf5fb4-m82xk,worker-2,0.010149,0.046017
2025-05-28T14:21:30.211164,pod,s4-sensorflood-00003-deployment-7c946458fd-r559f,worker-2,0.010415,0.047225
2025-05-28T14:21:30.211164,pod,s5-audioprocessor-00003-deployment-57bdd966b5-zb6t9,worker-2,0.010512,0.047667
