timestamp,scope,name,node,cpu_util,power,memory_mib
2025-05-28T17:11:56.029995,pod,s4-sensorflood-00004-deployment-7476c77884-9bnbb,worker-3,0.011369,0.051554,113.22
2025-05-28T17:11:56.029995,pod,s4-sensorflood-00004-deployment-7476c77884-cndqh,worker-2,0.027683,0.125526,116.32
2025-05-28T17:11:56.029995,pod,s4-sensorflood-00004-deployment-7476c77884-kqfv6,worker-2,0.019478,0.088319,113.59
2025-05-28T17:11:56.029995,pod,s5-audioprocessor-00004-deployment-7f66796979-69zs8,worker-2,0.060132,0.272661,93.05
2025-05-28T17:11:56.029995,pod,s5-audioprocessor-00004-deployment-7f66796979-6gfpv,worker-2,0.089702,0.406743,99.46
2025-05-28T17:11:56.029995,pod,s5-audioprocessor-00004-deployment-7f66796979-9xhxw,worker-3,0.081199,0.368188,97.71
2025-05-28T17:12:04.524321,pod,s1-inference-00006-deployment-5dcbb56dd9-2tbmm,worker-3,0.010635,0.048222,96.08
2025-05-28T17:12:04.524321,pod,s1-inference-00006-deployment-5dcbb56dd9-bknkh,worker-1,0.009405,0.042646,94.96
2025-05-28T17:12:04.524321,pod,s1-inference-00006-deployment-5dcbb56dd9-pw7pz,worker-2,0.932412,4.227928,196.91
2025-05-28T17:12:04.524321,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.007969,0.036135,183.39
2025-05-28T17:12:04.524321,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-2fwdd,worker-3,0.022231,0.100806,81.99
2025-05-28T17:12:04.524321,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-pgt7f,worker-2,0.042846,0.194282,80.5
2025-05-28T17:12:04.524321,pod,s4-sensorflood-00004-deployment-7476c77884-9bnbb,worker-3,0.011369,0.051554,113.22
2025-05-28T17:12:04.524321,pod,s4-sensorflood-00004-deployment-7476c77884-cndqh,worker-2,0.027667,0.125453,116.32
2025-05-28T17:12:04.524321,pod,s4-sensorflood-00004-deployment-7476c77884-kqfv6,worker-2,0.019044,0.086355,113.59
2025-05-28T17:12:04.524321,pod,s5-audioprocessor-00004-deployment-7f66796979-69zs8,worker-2,0.051548,0.233741,93.05
2025-05-28T17:12:04.524321,pod,s5-audioprocessor-00004-deployment-7f66796979-6gfpv,worker-2,0.087262,0.39568,99.46
2025-05-28T17:12:04.524321,pod,s5-audioprocessor-00004-deployment-7f66796979-9xhxw,worker-3,0.071117,0.322475,97.71
2025-05-28T17:12:10.851872,pod,s1-inference-00006-deployment-5dcbb56dd9-2tbmm,worker-3,0.011523,0.052251,96.08
2025-05-28T17:12:10.851872,pod,s1-inference-00006-deployment-5dcbb56dd9-bknkh,worker-1,0.008995,0.040787,94.96
2025-05-28T17:12:10.851872,pod,s1-inference-00006-deployment-5dcbb56dd9-pw7pz,worker-2,0.841001,3.813437,196.91
2025-05-28T17:12:10.851872,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.006947,0.0315,183.39
2025-05-28T17:12:10.851872,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-2fwdd,worker-3,0.0261,0.11835,81.99
2025-05-28T17:12:10.851872,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-pgt7f,worker-2,0.018895,0.085679,81.01
2025-05-28T17:12:10.851872,pod,s4-sensorflood-00004-deployment-7476c77884-9bnbb,worker-3,0.010061,0.045621,113.22
2025-05-28T17:12:10.851872,pod,s4-sensorflood-00004-deployment-7476c77884-cndqh,worker-2,0.03249,0.147324,116.86
2025-05-28T17:12:10.851872,pod,s4-sensorflood-00004-deployment-7476c77884-kqfv6,worker-2,0.009262,0.041997,113.71
2025-05-28T17:12:10.851872,pod,s5-audioprocessor-00004-deployment-7f66796979-69zs8,worker-2,0.069218,0.313863,102.12
2025-05-28T17:12:10.851872,pod,s5-audioprocessor-00004-deployment-7f66796979-6gfpv,worker-2,0.066698,0.302434,99.64
2025-05-28T17:12:10.851872,pod,s5-audioprocessor-00004-deployment-7f66796979-9xhxw,worker-3,0.055661,0.252391,97.71
2025-05-28T17:12:12.866300,pod,s1-inference-00006-deployment-5dcbb56dd9-2tbmm,worker-3,0.008348,0.037853,96.08
2025-05-28T17:12:12.866300,pod,s1-inference-00006-deployment-5dcbb56dd9-bknkh,worker-1,0.008684,0.039377,95.27
2025-05-28T17:12:12.866300,pod,s1-inference-00006-deployment-5dcbb56dd9-pw7pz,worker-2,0.817068,3.704913,340.98
2025-05-28T17:12:12.866300,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.008702,0.039456,183.4
2025-05-28T17:12:12.866300,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-2fwdd,worker-3,0.013674,0.062002,82.03
2025-05-28T17:12:12.866300,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-pgt7f,worker-2,0.014774,0.066991,81.01
2025-05-28T17:12:12.866300,pod,s4-sensorflood-00004-deployment-7476c77884-9bnbb,worker-3,0.008505,0.038565,113.22
2025-05-28T17:12:12.866300,pod,s4-sensorflood-00004-deployment-7476c77884-cndqh,worker-2,0.026809,0.121561,117.05
2025-05-28T17:12:12.866300,pod,s4-sensorflood-00004-deployment-7476c77884-kqfv6,worker-2,0.012019,0.0545,113.85
2025-05-28T17:12:12.866300,pod,s5-audioprocessor-00004-deployment-7f66796979-69zs8,worker-2,0.067094,0.304231,102.68
2025-05-28T17:12:12.866300,pod,s5-audioprocessor-00004-deployment-7f66796979-6gfpv,worker-2,0.072141,0.327114,99.64
2025-05-28T17:12:12.866300,pod,s5-audioprocessor-00004-deployment-7f66796979-9xhxw,worker-3,0.056088,0.254327,97.71
2025-05-28T17:12:13.802167,pod,s1-inference-00006-deployment-5dcbb56dd9-2tbmm,worker-3,0.007769,0.035229,96.08
2025-05-28T17:12:13.802167,pod,s1-inference-00006-deployment-5dcbb56dd9-bknkh,worker-1,0.008306,0.037663,95.27
2025-05-28T17:12:13.802167,pod,s1-inference-00006-deployment-5dcbb56dd9-pw7pz,worker-2,0.695303,3.15278,340.98
2025-05-28T17:12:13.802167,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.008073,0.036607,183.4
2025-05-28T17:12:13.802167,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-2fwdd,worker-3,0.013423,0.060867,82.03
2025-05-28T17:12:13.802167,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-pgt7f,worker-2,0.014527,0.065871,81.01
2025-05-28T17:12:13.802167,pod,s4-sensorflood-00004-deployment-7476c77884-9bnbb,worker-3,0.008515,0.038612,113.22
2025-05-28T17:12:13.802167,pod,s4-sensorflood-00004-deployment-7476c77884-cndqh,worker-2,0.027985,0.126897,117.05
2025-05-28T17:12:13.802167,pod,s4-sensorflood-00004-deployment-7476c77884-kqfv6,worker-2,0.012019,0.0545,113.85
2025-05-28T17:12:13.802167,pod,s5-audioprocessor-00004-deployment-7f66796979-69zs8,worker-2,0.064062,0.290484,102.68
2025-05-28T17:12:13.802167,pod,s5-audioprocessor-00004-deployment-7f66796979-6gfpv,worker-2,0.068485,0.310539,99.64
2025-05-28T17:12:13.802167,pod,s5-audioprocessor-00004-deployment-7f66796979-9xhxw,worker-3,0.054503,0.247138,97.71
2025-05-28T17:12:16.329063,pod,s1-inference-00006-deployment-5dcbb56dd9-2tbmm,worker-3,0.009891,0.04485,96.4
2025-05-28T17:12:16.329063,pod,s1-inference-00006-deployment-5dcbb56dd9-bknkh,worker-1,0.009689,0.043935,95.46
2025-05-28T17:12:16.329063,pod,s1-inference-00006-deployment-5dcbb56dd9-pw7pz,worker-2,0.997623,4.523621,341.25
2025-05-28T17:12:16.329063,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.008548,0.03876,183.4
2025-05-28T17:12:16.329063,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-2fwdd,worker-3,0.01211,0.054913,82.03
2025-05-28T17:12:16.329063,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-pgt7f,worker-2,0.016171,0.073325,81.34
2025-05-28T17:12:16.329063,pod,s4-sensorflood-00004-deployment-7476c77884-9bnbb,worker-3,0.008428,0.038216,113.22
2025-05-28T17:12:16.329063,pod,s4-sensorflood-00004-deployment-7476c77884-cndqh,worker-2,0.024637,0.111712,117.05
2025-05-28T17:12:16.329063,pod,s4-sensorflood-00004-deployment-7476c77884-kqfv6,worker-2,0.011149,0.050556,113.85
2025-05-28T17:12:16.329063,pod,s5-audioprocessor-00004-deployment-7f66796979-69zs8,worker-2,0.062291,0.282454,102.68
2025-05-28T17:12:16.329063,pod,s5-audioprocessor-00004-deployment-7f66796979-6gfpv,worker-2,0.066163,0.30001,99.64
2025-05-28T17:12:16.329063,pod,s5-audioprocessor-00004-deployment-7f66796979-9xhxw,worker-3,0.053101,0.240781,97.71
2025-05-28T17:12:20.454007,pod,s1-inference-00006-deployment-5dcbb56dd9-2tbmm,worker-3,0.009839,0.044613,96.4
2025-05-28T17:12:20.454007,pod,s1-inference-00006-deployment-5dcbb56dd9-bknkh,worker-1,0.009689,0.043935,95.46
2025-05-28T17:12:20.454007,pod,s1-inference-00006-deployment-5dcbb56dd9-pw7pz,worker-2,0.99228,4.499396,341.25
2025-05-28T17:12:20.454007,pod,s2-modeldepot-565cccff85-ppb55,worker-2,0.008568,0.038852,183.4
2025-05-28T17:12:20.454007,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-2fwdd,worker-3,0.012171,0.055186,82.03
2025-05-28T17:12:20.454007,pod,s3-sensorcruncher-00004-deployment-5fb47bf77c-pgt7f,worker-2,0.015718,0.07127,81.34
2025-05-28T17:12:20.454007,pod,s4-sensorflood-00004-deployment-7476c77884-9bnbb,worker-3,0.00846,0.03836,113.22
2025-05-28T17:12:20.454007,pod,s4-sensorflood-00004-deployment-7476c77884-cndqh,worker-2,0.025436,0.115337,117.05
2025-05-28T17:12:20.454007,pod,s4-sensorflood-00004-deployment-7476c77884-kqfv6,worker-2,0.010957,0.049682,113.85
2025-05-28T17:12:20.454007,pod,s5-audioprocessor-00004-deployment-7f66796979-69zs8,worker-2,0.058511,0.265314,102.68
2025-05-28T17:12:20.454007,pod,s5-audioprocessor-00004-deployment-7f66796979-6gfpv,worker-2,0.065674,0.297794,99.64
